question_id	year	exam_phase	subject	question_number	needs_review	has_image	context
ITA-MC-2010-SP-FIS-Q001	2010	single_phase	fisica	1	True	True	Pela teoria Newtoniana da gravita¸c˜ao, o potencial gravitacional devido ao Sol, assumindo simetria esf´erica, ´e dado por −V = GM/r, em que r ´e a distˆancia m [...] posi¸c˜ao da Terra, sabendo a priori que k=1. e 10−8 A = kG2M 2/c e 10−5 | ALT A:A = kGM/c A = kG2M 2/c2 e 10−5 e 10−3 A = kG2M 2/c || B: || C:A = kG2M 2/c2 e 10−8 || D: || E:
ITA-MC-2010-SP-FIS-Q002	2010	single_phase	fisica	2	False	True	Considere a Terra como uma esfera homogˆenea de raio R que gira com velocidade angular uniforme ω em torno do seu pr´oprio eixo Norte-Sul. Na hip´otese de ausˆe [...] uso na superf´ıcie da Terra a uma latitude λ ´e dado por mg −mω2R cos λ. | ALT A:N  mg −mω2R sen 2λ. || B:r m 2ω2R/g + (ω2R/g)2i h sen 2λ. R 1 − || C:mg  r Equador h 2ω2R/g 
ITA-MC-2010-SP-FIS-Q003	2010	single_phase	fisica	3	False	False	Considere um segmento de reta que liga o centro de qualquer planeta do sistema solar ao centro do Sol. De acordo com a 2a Lei de Kepler, tal segmento percorre ´ [...] da gravita¸c˜ao entre o Sol e o planeta. Assinale a alternativa correta. | ALT A:O segmento de reta em quest˜ao continuaria a percorrer ´areas iguais em tempos iguais. A ´orbi
ITA-MC-2010-SP-FIS-Q004	2010	single_phase	fisica	4	True	True	A temperatura para a qual a velocidade associada `a energia cin´etica m´edia de uma mol´ecula de nitrogˆenio, N2, ´e igual `a velocidade de escape desta mol´ecu [...] da Terra ´e de, aproximadamente, 1,4 x 105 K. 1,4 x 108 K. 7,0 x 1027 K. | ALT A: || B: || C:7,2 x 104 K. 8,4 x 1028 K. || D: || E:
ITA-MC-2010-SP-FIS-Q005	2010	single_phase	fisica	5	False	True	No plano inclinado, o corpo de massa m ´e preso a uma mola de constante el´astica k, sendo barrado `a frente por um anteparo. Com a mola no seu comprimento natu [...] aﬁrmar que a varia¸c˜ao m´axima do comprimento da mola ´e dada por h i p | ALT A:m g senα + m a (2g senα + a) /k. k h i p || B:mg cos α + m a(2g cos α + a) /k. m anteparo h i 
ITA-MC-2010-SP-FIS-Q006	2010	single_phase	fisica	6	False	True	Um quadro quadrado de lado ℓe massa m, feito de um material de coeﬁciente de dilata¸c˜ao superﬁcial β, ´e pendurado no pino O por uma corda inextens´ıvel, de ma [...] ra que o quadro possa ser pendurado com seguran¸ca ´e dado por 2ℓF√β∆T  | ALT A:mg. O || B:2ℓF (1 + β∆T)/mg.  .p (4F 2 −m2g2). || C:2ℓF (1 + β∆T) . p (2F −mg). || D:2ℓF (1 +
ITA-MC-2010-SP-FIS-Q007	2010	single_phase	fisica	7	True	True	Considere um semicilindro de peso P e raio R sobre um plano horizontal n˜ao liso, mostrado em corte na ﬁgura. Uma barra homogˆenea de comprimento L e peso Q est [...] ne¸ca em equil´ıbrio? O µ = cos α/[cos α + 2P (2h/LQ cos(2α) −R/LQsenα)] | ALT A:L  µ = cos α/[cos α + P (2h/LQsen(2α) −2R/LQ cos α)] || B:h µ = cos α/[senα + 2P (2h/LQsen(2α
ITA-MC-2010-SP-FIS-Q008	2010	single_phase	fisica	8	False	False	Um el´etron ´e acelerado do repouso atrav´es de uma diferen¸ca de potencial V e entra numa regi˜ao na qual atua um campo magn´etico, onde ele inicia um moviment [...] campo magn´etico, poder´ıamos aﬁrmar sobre seu raio RP e per´ıodo TP que | ALT A:RP = RE e TP = TE. || B:RP > RE e TP > TE. || C:RP > RE e TP = TE. || D:RP < RE e TP = TE. || 
ITA-MC-2010-SP-FIS-Q009	2010	single_phase	fisica	9	False	True	Considere um oscilador harmˆonico simples composto por uma mola de constante el´astica k, tendo uma extremidade ﬁxada e a outra acoplada a uma part´ıcula de mas [...] 0 a posi¸c˜ao de equil´ıbrio do oscilador para ω = 0, pode-se aﬁrmar que | ALT A:o movimento ´e harmˆonico simples para qualquer que seja velocidade angular ω. || B:o ponto de
ITA-MC-2010-SP-FIS-Q010	2010	single_phase	fisica	10	False	True	Uma m´aquina t´ermica opera segundo o ciclo JKLMJ mostrado no diagrama T-S da ﬁgura. Pode-se aﬁrmar que | ALT A:o processo JK corresponde a uma compress˜ao T(K) isot´ermica. J K || B:o trabalho realizado pe
