question_id	year	exam_phase	subject	question_number	question_text	alternatives
ITA-MC-2026-P1-FIS-Q013	2026	phase_1	fisica	13	Em um microscópio eletrônico de varredura (MEV), um feixe de elétrons apre- senta área transversal A, densidade de carga p e velocidade dos elétrons v. Sabendo que a corrente / do feixe é determinada pelo fluxo de carga através da seção reta e que C é uma constante adimensional, assinale a alternativa que representa a relação correta entre LA, pev. A( ) I=CpAYv. C( ) l= CpAv?. E ( y= CPA. V V B( ) l= CpAv. D( )/=c%	A:  || B:  || C:  || D:  || E: 
ITA-MC-2026-P1-FIS-Q014	2026	phase_1	fisica	14	Uma pequena esfera é abandonada do repouso a partir de uma altura H, em relação ao solo, e cai verticalmente em queda livre. No mesmo instante em que a esfera inicia seu movimento, um canhão, situado a uma distância horizontal D da trajetória da es- fera e a uma altura h relativamente ao solo, dispara um projétil com velocidade v, formando um ângulo O em relação à horizontal. As condições são tais que o projétil atinge a esfera exatamente no instante em que ela toca o solo. Desprezando a resistência do ar e assu- mindo que a aceleração gravitacional é igual a g, assinale a alternativa que corresponde à magnitude da velocidade de lançamento v. “II 5a ((H (H-n24D? h)2 + D ). A()v=V B( - /9 ((y_ m2 = p2 ) v=\/5 ((H h)? + D ). ~ |9 C( ((H-p2~ p2 ) v= ian ((H h2-D ). D( - /9 ((y_p2_ p2 ) v=\/5((H h2-D ). E( )v=,/29 ((H- ny? + D2). H	A:  || B:  || C:  || D:  || E: 
ITA-MC-2026-P1-FIS-Q015	2026	phase_1	fisica	15	Um objeto de massa m = 1,00 kg é lançado verticalmente para cima a partir do solo com velocidade inicial vo = 30,0 m/s. A força de resistência do ar tem módulo constante fy = 2,00 N durante toda a trajetória. Ao retornar ao nível do solo, ele colide com uma plataforma de massa desprezível, presa a uma mola ideal vertical de constante elástica k = 800 N/m. Após o impacto, o sistema plataforma-massa desliza sobre apoios verticais, sofrendo uma força dissipativa total constante igual a 410 N. Assinale a alternativa que corresponde, respectivamente, a altura máxima atingida pelo objeto e ao valor que mais se aproxima da energia total dissipada até a mola atingir sua máxima compressão. m; 180 J.	A: 45,0 || B: 45,0 m; 376 J. || C: 37,5 m; 150 J. || D: 37,5 m; 355 J. 5 || E: 37,5 m; 765 J.
ITA-MC-2026-P1-FIS-Q016	2026	phase_1	fisica	16	Três planetas de massas m q 4 idênticas orbitam, em trajetória circular, uma v (m) q estrela de massa M. A posição relativa en- / — tre os planetas, a cada instante, forma um ff fF & § triangulo equilatero de lado a, conforme mos- af » 48 trado . Z 4 , NN + da na figura. Sabendo que G é a constante / ! SON o período dessa órbita é dado por gravitação universal, podemos afirmar que 7 v (™) 4 % / É N N [incre arara ees caps eos 65] a AC) T= et 3 2 gle 3 2 gle D()T=-—<T __.. \/G(9M + 8m) \/G(3M +m) B( ) T=“ On agal2 G(M + 3m) E( ) 7=—______.. on gle V G(9M + v3m) C()T= \/3G(V3M + m)	A:  || B:  || C:  || D:  || E: 
ITA-MC-2026-P1-FIS-Q017	2026	phase_1	fisica	17	Considere um pêndulo simples, com um fio ideal de comprimento £ sob ação da gravidade de aceleração g, e um sistema massa—mola na horizontal, com uma mola de comprimento natural xy e uma massa que desliza sobre uma superficie lisa, conforme a figura. Ambos os corpos, o do pêndulo e o do sistema massa-mola, possuem a mesma massa. No instante inicial, o pêndulo é solto do repouso a partir de um pequeno ângulo 9 com a vertical, enquanto a massa do sistema massa-mola é solta também do repouso a partir de uma posição x;, em que a mola se encontra comprimida. As duas massas colidem quando a mola atinge seu comprimento natural e quando o pêndulo está na vertical. Nesse instante, elas possuem a mesma velocidade. Assinale a alternativa que corresponde a relação entre o ângulo 0, de lançamento do pêndulo, e os outros parâmetros físicos relevantes. AV? = e x} Xo XxX; —-X	"A: cos 8 = 1 — CX 2 2 2 || B: sin@=1- || C: cos = 1-170)"" || D: sng=1-"" a (xq — Xo)2 6 || E: cos@ =1-———.,. X41 —X L 242 L (x4 — Xo) (4-*02 242"
ITA-MC-2026-P1-FIS-Q018	2026	phase_1	fisica	18	Um vaso comunicante contém um volume Vp = 2,00L de água e possui duas colunas verticais conectadas por um tubo de conexão de comprimento Lp = 10,0cm e área de seção transversal Aç = 100 cm, conforme a figura. Sobre cada uma das colunas verticais, colocam-se duas massas distintas: m; = 200g sobre a coluna de area A; = 100 cm? e ms = 100g sobre a coluna de área A> = 400 cm2. Admita que o sistema atinge o equilíbrio estático, que a água é incompressível e despreze o atrito. Dado o exposto, assinale a alternativa que correspondea altura da coluna de agua sob a massa mj. ! Lo i AC) 690em A AY B( ) 2,35cm. É LÁ Ma C( ) 1,75cm. D( ) 0,75cm. me YZ h I2 o --------- 4	A:  || B:  || C:  || D:  || E: 
ITA-MC-2026-P1-FIS-Q019	2026	phase_1	fisica	19	Em um escritório, trabalham 10 funcionários de segunda a sexta, em um regime de oito horas por dia. Diariamente o ar-condicionado é ligado para manter o local de trabalho a 17 ºC, sendo que o ambiente externo está a uma temperatura de 37 °C. Considere que o ar-condicionado funcione com máxima eficiência e que ele age apenas para retirar o calor gerado pelas pessoas, que é de 100 W por funcionário. Sabendo que a tarifa da energia elétrica é de R$ 0,91 por kWh, assinale o custo aproximado para usar o ar-condicionado durante 4 semanas.	A: R$8,00. || B: R$10,00. || C: R$14,00. || D: R$80,00. || E: R$170,00
ITA-MC-2026-P1-FIS-Q020	2026	phase_1	fisica	20	Um acidente marítimo causou um derramamento de óleo no mar. Na região, formou-se uma fina camada iridescente de óleo que flutua sobre a água calma do mar. Os índices de refração do óleo e da água são 3/2 e 4/3, respectivamente. Suponha que, à tarde, a luz solar incide com ângulo de 45º sobre a mancha de óleo e que um observador observa o reflexo do sol na camada de óleo com uma cor verde, com forte contribuição de comprimentos de onda em torno de 520 nm. Assinale a alternativa que contém o valor mais próximo da menor espessura da camada de óleo que permita a ocorrência do efeito descrito.	A: 40 nm. || B: 90 nm. || C: 100 nm. || D: 160 nm. 7 || E: 200 nm.
ITA-MC-2026-P1-FIS-Q021	2026	phase_1	fisica	21	"O circuito mostrado na figura é composto por um potenciômetro conectado a uma bateria de 12 V. Quando o cursor do potenciômetro é girado no sentido anti-horário, a resistência R1 tende a zero, e R2 atinge seu valor máximo; no sentido horário, ocorre o contrário. Um voltímetro ideal está conectado ao terminal central do potenciômetro, me- dindo a diferença de potencial entre esse ponto e o terminal negativo da bateria. Dois testes foram realizados nesse circuito. No Teste 1, uma resistência desconhecida R3 foi conectada, e a voltagem indicada pelo voltímetro foi registrada à medida que o cursor do potenciômetro era girado no sentido horário. No Teste 2, uma outra resistência desconhe- cida R4 substituiu a R3, e o procedimento foi repetido. O gráfico Vx R1/R2 mostra os resultados obtidos nos dois testes. Com base no que foi apresentado, é possível afirmar que R1 JA 12 © R2 10 Ss E 6 g W) o a 2 E 10"" 10° 10! 102 10º 104 R1/R2"	A: aresisténcia R4 é menor que a resistência R3. || B: a corrente elétrica que passa por R3 é menor do que a que passa por R4, para qualquer posição do cursor do potenciômetro. || C: a curva correspondente ficaria mais próxima à curva do Teste 1 do que à curva do Teste 2, se R3 e R4 fossem retiradas do circuito (este ramo ficaria aberto). || D: os valores da voltagem da curva V x R1/R3 serão menores que os valores de volta- gem da curva V x R1/R4 para os mesmos valores de abscissa admissíveis em ambos os casos. || E: arazão entre as tensões indicadas nos Testes 2 e Teste 1 permanece constante e é exatamente igual à razão R4/R3, para qualquer posição do cursor do potenciômetro. 8
ITA-MC-2026-P1-FIS-Q022	2026	phase_1	fisica	22	Considere um tubo cilíndrico condutor de raio R dividido em 3 regiões. Em cada região, há um conjunto de furos de raios distintos, a, b e c, igualmente espaçados. Um ímã é solto, partindo do repouso a par- tir do topo do cilindro, conforme apresentado na figura. À Considere as seguintes afirmações: : Il Se os raios a, bec tendem a zero, a aceleração VD do ímã será a menor possível. ® e . Il. Seosraiosa=c<b,a aceleração do ímã emc | raiosa to 5 sera maior que em b. ® = lll. Se os raios a= b > c, e considerandoo efeito Joule ® ) no material condutor, a temperatura local em c é & É . maior que em a e b. te 7 E 2 IV. Se os raios a = b = c, com a região b agora com- ® © | posta por um material dielétrico ideal, a velocidade 8 @ ¢ final do ima, após passar por c, sera maior do que rajosc ®@ @ @ V. seria caso todo o tubo fosse condutor. ® pa 6 ) Se todo o tubo fosse composto de um material dielétrico ideal com raios a > b > c, a aceleração em b seria maior que em c. Estão corretas apenas	A: I|,lleV. || B: Il, lle lV. || C: ill, VeV. || D: 1, Hl, lle lV || E: 1, lllelvV.
