question_id	topic	subtopic	concepts	skills	classification_confidence	needs_topic_review	taxonomy_version
ITA-MC-2020-P1-FIS-Q001	mecanica	geral	forca_em_n_dimensoes; constante_gravitacional; analise_dimensional	analise_dimensional; modelagem_fisica	0.95	false	1.0
ITA-MC-2020-P1-FIS-Q002	mecanica	cinematica	interceptacao; movimento_relativo; misseis	modelagem_fisica; interpretacao_de_figuras	0.92	false	1.0
ITA-MC-2020-P1-FIS-Q003	mecanica	dinamica	molas_paralelas; forca_aplicada; movimento_uniforme	modelagem_fisica; interpretacao_de_figuras	0.90	false	1.0
ITA-MC-2020-P1-FIS-Q004	fluidos	hidrodinamica	continuidade; vazao; lancamento_de_jato	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2020-P1-FIS-Q005	mecanica	gravitacao	trajetoria_parabolica; velocidade_de_escape; energia_orbital	modelagem_fisica; aplicacao_de_formulas	0.99	false	1.0
ITA-MC-2020-P1-FIS-Q006	mecanica	trabalho_e_energia	forca_resistente; lancamento_vertical; trabalho_energia	modelagem_fisica; aplicacao_de_formulas	0.95	false	1.0
ITA-MC-2020-P1-FIS-Q007	fisica_moderna	relatividade	dilatacao_do_tempo; contracao_do_comprimento; velocidade_da_luz	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2020-P1-FIS-Q008	termodinamica	dilatacao	pendulo; dilatacao_linear; periodo	modelagem_fisica; calculo_numerico	0.99	false	1.0
ITA-MC-2020-P1-FIS-Q009	termodinamica	gases	aquecimento_eletrico; gas_ideal; processo_termodinamico	modelagem_fisica; interpretacao_de_graficos	0.88	false	1.0
ITA-MC-2020-P1-FIS-Q010	eletromagnetismo	torque_magnetico	bobina_em_cilindro; campo_magnetico; torque	modelagem_fisica; interpretacao_de_figuras	0.92	false	1.0
ITA-MC-2020-P1-FIS-Q011	ondas	interferencia	interferencia_sonora; diferenca_de_caminho; velocidade_do_som	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2020-P1-FIS-Q012	circuitos_eletricos	circuitos_cc	reostato; capacitor; carga_eletrica	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2020-P1-FIS-Q013	eletrostatica	carga_campo_potencial	cargas_em_equilibrio; pendulos; repulsao_eletrostatica	modelagem_fisica; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2020-P1-FIS-Q014	optica	refracao	lente_delgada; bloco_transparente; refracao	modelagem_fisica; interpretacao_de_figuras	0.95	false	1.0
ITA-MC-2020-P1-FIS-Q015	termodinamica	maquinas_termicas	maquinas_acopladas; rendimento; ciclo_de_carnot	argumentacao_logica; modelagem_fisica	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q041	algebra	geral	produto_telescopico; fracoes; simplificacao	raciocinio_algebrico; calculo_numerico	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q042	sequencias_e_progressoes	progressao_geometrica	progressao_geometrica; teorema_de_pitagoras; razao	raciocinio_algebrico; resolucao_de_problemas	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q043	sequencias_e_progressoes	progressao_geometrica	serie_geometrica_complexa; parte_real; soma_infinita	raciocinio_algebrico; aplicacao_de_formulas	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q044	geometria_analitica	conicas	elipse; circunferencia; intersecao_de_curvas	raciocinio_geometrico; modelagem_matematica	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q045	sequencias_e_progressoes	sequencias	acumulacao_de_velas; sequencia; desigualdade	raciocinio_algebrico; calculo_numerico	0.95	false	1.0
ITA-MC-2020-P1-MAT-Q046	geometria_plana	circulos	potencia_de_ponto; secante; angulos_centrais	raciocinio_geometrico; interpretacao_de_figuras	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q047	trigonometria	equacoes_trigonometricas	equacao_trigonometrica; seno; cosseno	raciocinio_algebrico; resolucao_de_problemas	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q048	polinomios	raizes_de_polinomios	polinomio_cubico; raizes_complexas; soma_dos_quadrados	raciocinio_algebrico; resolucao_de_problemas	0.95	false	1.0
ITA-MC-2020-P1-MAT-Q049	teoria_dos_numeros	divisibilidade	fatorial; zeros_finais; fatores_2_e_5	raciocinio_algebrico; calculo_numerico	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q050	polinomios	coeficientes	divisibilidade; soma_e_produto_das_raizes; avaliacao	raciocinio_algebrico; resolucao_de_problemas	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q051	geometria_analitica	geral	triangulo_isosceles; incirculo; coordenadas	raciocinio_geometrico; modelagem_matematica	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q052	algebra	geral	racionalidade; implicacoes; numeros_reais	argumentacao_logica; raciocinio_algebrico	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q053	geometria_espacial	solidos	formula_de_euler; poliedros; vertices_arestas_faces	argumentacao_logica; raciocinio_geometrico	0.99	false	1.0
ITA-MC-2020-P1-MAT-Q054	geometria_espacial	posicoes_relativas	planos; retas_reversas; paralelismo	argumentacao_logica; raciocinio_geometrico	0.99	false	1.0
